,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,1,Bulbasaur,Grass,Poison,319,45,49,49,65,65,45,1,False
1,2,Ivysaur,Grass,Poison,406,60,62,63,80,80,60,1,False
2,3,Venusaur,Grass,Poison,526,80,82,83,100,100,80,1,False
3,3,VenusaurMega Venusaur,Grass,Poison,626,80,100,123,122,120,80,1,False
4,4,Charmander,Fire,,310,39,52,43,60,50,65,1,False
5,5,Charmeleon,Fire,,406,58,64,58,80,65,80,1,False
6,6,Charizard,Fire,Flying,535,78,84,78,109,85,100,1,False
7,6,CharizardMega Charizard X,Fire,Dragon,635,78,130,111,130,85,100,1,False
8,6,CharizardMega Charizard Y,Fire,Flying,635,78,104,78,159,115,100,1,False
42,37,Vulpix,Fire,,300,38,41,40,50,65,65,1,False
43,38,Ninetales,Fire,,506,73,76,75,81,100,100,1,False
48,43,Oddish,Grass,Poison,321,45,50,55,75,65,30,1,False
49,44,Gloom,Grass,Poison,396,60,65,70,85,75,40,1,False
50,45,Vileplume,Grass,Poison,491,75,80,85,110,90,50,1,False
63,58,Growlithe,Fire,,351,55,70,45,70,50,60,1,False
64,59,Arcanine,Fire,,556,90,110,80,100,80,95,1,False
75,69,Bellsprout,Grass,Poison,301,50,75,35,70,30,40,1,False
76,70,Weepinbell,Grass,Poison,391,65,90,50,85,45,55,1,False
77,71,Victreebel,Grass,Poison,491,80,105,65,100,70,70,1,False
83,77,Ponyta,Fire,,411,50,85,55,65,65,90,1,False
84,78,Rapidash,Fire,,501,65,100,70,80,80,105,1,False
110,102,Exeggcute,Grass,Psychic,326,60,40,80,60,45,40,1,False
111,103,Exeggutor,Grass,Psychic,521,95,95,85,125,65,55,1,False
122,114,Tangela,Grass,,436,65,55,115,100,40,60,1,False
135,126,Magmar,Fire,,496,65,95,57,100,85,93,1,False
147,136,Flareon,Fire,,526,65,130,60,95,110,65,1,False
158,146,Moltres,Fire,Flying,581,90,100,90,125,85,90,1,True
166,152,Chikorita,Grass,,320,45,49,65,49,65,45,2,False
167,153,Bayleef,Grass,,407,60,62,80,63,80,60,2,False
168,154,Meganium,Grass,,527,80,82,100,83,100,80,2,False
169,155,Cyndaquil,Fire,,311,39,52,43,60,50,65,2,False
170,156,Quilava,Fire,,407,58,64,58,80,65,80,2,False
171,157,Typhlosion,Fire,,536,78,84,78,109,85,100,2,False
197,182,Bellossom,Grass,,492,75,80,95,90,100,50,2,False
202,187,Hoppip,Grass,Flying,252,35,35,40,35,55,50,2,False
203,188,Skiploom,Grass,Flying,342,55,45,50,45,65,80,2,False
204,189,Jumpluff,Grass,Flying,462,75,55,70,55,95,110,2,False
206,191,Sunkern,Grass,,182,30,30,30,30,30,30,2,False
207,192,Sunflora,Grass,,427,75,75,55,105,85,30,2,False
236,218,Slugma,Fire,,252,40,40,40,70,40,20,2,False
237,219,Magcargo,Fire,Rock,412,50,50,120,80,80,30,2,False
259,240,Magby,Fire,,367,45,75,37,70,55,83,2,False
263,244,Entei,Fire,,582,115,115,85,90,75,100,2,True
270,250,Ho-oh,Fire,Flying,682,106,130,90,110,154,90,2,True
272,252,Treecko,Grass,,313,40,45,35,65,55,70,3,False
273,253,Grovyle,Grass,,408,50,65,45,85,65,95,3,False
274,254,Sceptile,Grass,,533,70,85,65,105,85,120,3,False
275,254,SceptileMega Sceptile,Grass,Dragon,633,70,110,75,145,85,145,3,False
276,255,Torchic,Fire,,313,45,60,40,70,50,45,3,False
277,256,Combusken,Fire,Fighting,408,60,85,60,85,60,55,3,False
278,257,Blaziken,Fire,Fighting,533,80,120,70,110,70,80,3,False
279,257,BlazikenMega Blaziken,Fire,Fighting,633,80,160,80,130,80,100,3,False
296,273,Seedot,Grass,,223,40,40,50,30,30,30,3,False
297,274,Nuzleaf,Grass,Dark,343,70,70,40,60,40,60,3,False
298,275,Shiftry,Grass,Dark,483,90,100,60,90,60,80,3,False
309,285,Shroomish,Grass,,298,60,40,60,40,60,35,3,False
310,286,Breloom,Grass,Fighting,463,60,130,80,60,60,70,3,False
344,315,Roselia,Grass,Poison,403,50,60,45,100,80,65,3,False
352,322,Numel,Fire,Ground,308,60,60,40,65,45,35,3,False
353,323,Camerupt,Fire,Ground,463,70,100,70,105,75,40,3,False
354,323,CameruptMega Camerupt,Fire,Ground,563,70,120,100,145,105,20,3,False
355,324,Torkoal,Fire,,473,70,85,140,85,70,20,3,False
362,331,Cacnea,Grass,,338,50,85,40,85,40,35,3,False
363,332,Cacturne,Grass,Dark,478,70,115,60,115,60,55,3,False
390,357,Tropius,Grass,Flying,463,99,68,83,72,87,51,3,False
432,387,Turtwig,Grass,,322,55,68,64,45,55,31,4,False
433,388,Grotle,Grass,,409,75,89,85,55,65,36,4,False
434,389,Torterra,Grass,Ground,529,95,109,105,75,85,56,4,False
435,390,Chimchar,Fire,,313,44,58,44,58,44,61,4,False
436,391,Monferno,Fire,Fighting,409,64,78,52,78,52,81,4,False
437,392,Infernape,Fire,Fighting,538,76,104,71,104,71,108,4,False
451,406,Budew,Grass,Poison,284,40,30,35,50,70,55,4,False
452,407,Roserade,Grass,Poison,519,60,70,65,125,105,90,4,False
467,420,Cherubi,Grass,,279,45,35,45,62,53,35,4,False
468,421,Cherrim,Grass,,454,70,60,70,87,78,85,4,False
505,455,Carnivine,Grass,,458,74,100,72,90,72,46,4,False
509,459,Snover,Grass,Ice,338,60,62,50,62,60,40,4,False
510,460,Abomasnow,Grass,Ice,498,90,92,75,92,85,60,4,False
511,460,AbomasnowMega Abomasnow,Grass,Ice,598,90,132,105,132,105,30,4,False
516,465,Tangrowth,Grass,,539,100,100,125,110,50,50,4,False
518,467,Magmortar,Fire,,544,75,95,67,125,95,83,4,False
521,470,Leafeon,Grass,,529,65,110,130,60,65,95,4,False
542,485,Heatran,Fire,Steel,604,91,90,106,130,106,77,4,True
550,492,ShayminLand Forme,Grass,,604,100,100,100,100,100,100,4,True
551,492,ShayminSky Forme,Grass,Flying,604,100,103,75,120,75,127,4,True
554,495,Snivy,Grass,,313,45,45,55,45,55,63,5,False
555,496,Servine,Grass,,418,60,60,75,60,75,83,5,False
556,497,Serperior,Grass,,533,75,75,95,75,95,113,5,False
557,498,Tepig,Fire,,313,65,63,45,45,45,45,5,False
558,499,Pignite,Fire,Fighting,423,90,93,55,70,55,55,5,False
559,500,Emboar,Fire,Fighting,533,110,123,65,100,65,65,5,False
570,511,Pansage,Grass,,321,50,53,48,53,48,64,5,False
571,512,Simisage,Grass,,503,75,98,63,98,63,101,5,False
572,513,Pansear,Fire,,321,50,53,48,53,48,64,5,False
573,514,Simisear,Fire,,503,75,98,63,98,63,101,5,False
606,546,Cottonee,Grass,Fairy,285,40,27,60,37,50,66,5,False
607,547,Whimsicott,Grass,Fairy,485,60,67,85,77,75,116,5,False
608,548,Petilil,Grass,,285,45,35,50,70,50,30,5,False
609,549,Lilligant,Grass,,485,70,60,75,110,75,90,5,False
614,554,Darumaka,Fire,,320,70,90,45,15,45,50,5,False
615,555,DarmanitanStandard Mode,Fire,,485,105,140,55,30,55,95,5,False
616,555,DarmanitanZen Mode,Fire,Psychic,545,105,30,105,140,105,55,5,False
617,556,Maractus,Grass,,466,75,86,67,106,67,60,5,False
651,590,Foongus,Grass,Poison,299,69,55,45,55,55,15,5,False
652,591,Amoonguss,Grass,Poison,469,114,85,70,85,80,30,5,False
658,597,Ferroseed,Grass,Steel,310,44,50,91,24,86,10,5,False
659,598,Ferrothorn,Grass,Steel,494,74,94,131,54,116,20,5,False
692,631,Heatmor,Fire,,489,85,97,66,105,66,65,5,False
701,640,Virizion,Grass,Fighting,585,91,90,72,90,129,108,5,True
718,650,Chespin,Grass,,319,56,61,65,48,45,38,6,False
719,651,Quilladin,Grass,,411,61,78,95,56,58,57,6,False
720,652,Chesnaught,Grass,Fighting,536,88,107,122,74,75,64,6,False
721,653,Fennekin,Fire,,313,40,45,40,62,60,60,6,False
722,654,Braixen,Fire,,415,59,59,58,90,70,73,6,False
723,655,Delphox,Fire,Psychic,540,75,69,72,114,100,104,6,False
730,662,Fletchinder,Fire,Flying,388,62,73,55,56,52,84,6,False
731,663,Talonflame,Fire,Flying,505,78,81,71,74,69,126,6,False
735,667,Litleo,Fire,Normal,375,62,50,58,73,54,72,6,False
736,668,Pyroar,Fire,Normal,513,86,68,72,109,66,106,6,False
740,672,Skiddo,Grass,,356,66,65,48,62,57,52,6,False
741,673,Gogoat,Grass,,537,123,100,62,97,81,68,6,False
799,721,Volcanion,Fire,Water,606,80,110,120,130,90,70,6,True
